Study,Title,Application,Intervention,Model,Population,Sample (N),Control Group,Clinical Outcome,Risk Detection
Melo et al. (2024),Chatgpt: A pilot study on a promising tool for mental health support in psychiatric inpatient care,Client-facing application,Non-specific support,GPT-3.5 family,Clinical patients (hospital/outpatient); Clinical patients (ICD/DSM diagnosis),12,Yes,Validated symptom/function scale,Yes
Spiegel et al. (2024),Feasibility of combining spatial computing and AI for mental health support in anxiety and depression,Client-facing application,Multiple therapeutic orientations,GPT-4 / GPT-4o family,People with some symptoms but not disorder (determined by symptom scales or q...,14,No,User experience assessment,No
Yu et al. (2024),An experimental study of integrating fine-tuned LLMs and prompts for enhancing mental health support chatbot system,Client-facing application,Non-specific support,GPT-2 family; GPT-3.5 family,People with some symptoms but not disorder (determined by symptom scales or q...,10,No,User experience assessment,No
Bird et al. (2024),Generative AI in Psychological Therapy: Perspectives on Computational Linguistics and Large Language Models in Written Behaviour Monitoring - Proceedings of the 17th International Conference on PErvasive Technologies Related to Assistive Environments,Client-facing application,Non-specific support,Mistral family,No clients/patients involved,-,No,Not specified,No
Lai et al. (2023),Supporting the Demand on Mental Health Services with AI-Based Conversational Large Language Models (LLMs),Client-facing application,Non-specific support,GPT-2 family; Other; GPT-2 family,No clients/patients involved,-,No,Not specified,No
Kumar et al. (2024),"Mental Healthcare Chatbot Based on Custom Diagnosis Documents Using a Quantized Large Language Model - 2024 11th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions)(ICRITO)",Client-facing application,Non-specific support,Llama 2 family,No clients/patients involved,-,No,Not specified,No
Nazarova et al. (2023),Application of Artificial Intelligence in Mental Healthcare: Generative Pre-trained Transformer 3 (GPT-3) and Cognitive Distortions - Proceedings of the Future Technologies Conference,Client-facing application,CBT: Cognitive restructuring,GPT-3 family,General population,68,Yes,Validated symptom/function scale,No
YounghunLee et al. (2024),Towards Understanding Counseling Conversations: Domain Knowledge and Large Language Models,Text-based prediction,Non-specific support,GPT-3.5 family,Not specified,Not reported,No,Not specified,No
HongbinNa et al. (2024),CBT-LLM: A Chinese Large Language Model for Cognitive Behavioral Therapy-based Mental Health Question Answering,Client-facing application,CBT: Other techniques,GPT-3.5 family; Qwen family; Other; Llama 1 family; Other,No clients/patients involved,-,No,Not specified,No
Yao et al. (2022),"Research on the Construction of Psychological Crisis Intervention Strategy Service System - Health Information Science: 11th International Conference, HIS 2022, Virtual Event, October 28–30, 2022, Proceedings",Client-facing application,Non-specific support,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Liu et al. (2023),"Multi-modal Multi-emotion Emotional Support Conversation - Advanced Data Mining and Applications: 19th International Conference, ADMA 2023, Shenyang, China, August 21–23, 2023, Proceedings, Part I",Client-facing application,Non-specific support,Other,No clients/patients involved,-,No,Not specified,No
Srivastava et al. (2023),Response-act Guided Reinforced Dialogue Generation for Mental Health Counseling - Proceedings of the ACM Web Conference 2023,Client-facing application,Non-specific support,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Qiu et al. (2023),"A Benchmark for Understanding Dialogue Safety in Mental Health Support - Natural Language Processing and Chinese Computing: 12th National CCF Conference, NLPCC 2023, Foshan, China, October 12–15, 2023, Proceedings, Part II",Text-based prediction,Non-specific support,GPT-3.5 family,Not specified,Not reported,No,Not specified,No
Berrezueta-Guzman et al. (2024),Future of ADHD Care: Evaluating the Efficacy of ChatGPT in Therapy Enhancement,Client-facing application,Non-specific support,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Unknown et al. (2024),Generation of Backward-Looking Complex Reflections for a Motivational Interviewing-Based Smoking Cessation Chatbot Using GPT-4: Algorithm Development and Validation,Client-facing application,Motivational interviewing,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Adhikary et al. (2024),Exploring the Efficacy of Large Language Models in Summarizing Mental Health Counseling Sessions: Benchmark Study,Text-based prediction,Non-specific support,BART family; T5 family; GPT-2 family; Llama 2 family; Mistral family; Other; Other; Other,No clients/patients involved,-,No,Not specified,No
Das et al. (2022),Conversational Bots for Psychotherapy: A Study of Generative Transformer Models Using Domain-specific Dialogues,Client-facing application,Multiple therapeutic orientations,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Uglova et al. (2023),Perception of Psychological Recommendations Generated by Neural Networks by Student Youth (Using ChatGPT as an Example),Client-facing application,Non-specific support,"ChatGPT, model unspecified",General population,236,Yes,User experience assessment,No
Fu et al. (2024),Efficacy of ChatGPT in Cantonese Sentiment Analysis: Comparative Study,Text-based prediction,Non-specific support,GPT-3.5 family; GPT-4 / GPT-4o family,Not specified,Not reported,No,Not specified,No
Furukawa et al. (2023),Harnessing AI to Optimize Thought Records and Facilitate Cognitive Restructuring in Smartphone CBT: An Exploratory Study,Text-based prediction,CBT: Cognitive restructuring,T5 family,No clients/patients involved,-,No,Not specified,No
Shen et al. (2020),Counseling-Style Reflection Generation Using Generative Pretrained Transformers with Augmented Context,Therapist guidance application,Motivational interviewing,GPT-2 family,Not specified,Not reported,No,Not specified,No
Jeong et al. (2024),Advancing Tinnitus Therapeutics: GPT-2 Driven Clustering Analysis of Cognitive Behavioral Therapy Sessions and Google T5-Based Predictive Modeling for THI Score Assessment,Text-based prediction,CBT: Cognitive restructuring,T5 family; GPT-2 family,Clinical patients (hospital/outpatient); People with some symptoms but not di...,42,No,Not specified,No
Saha et al. (2022),Towards Motivational and Empathetic Response Generation in Online Mental Health Support,Client-facing application,Peer support conversation,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Brown et al. (2023),A Motivational Interviewing Chatbot With Generative Reflections for Increasing Readiness to Quit Smoking: Iterative Development Study,Client-facing application,Motivational interviewing,GPT-2 family,People with some symptoms but not disorder (determined by symptom scales or q...,349,No,Validated symptom/function scale,No
Sharma et al. (2024),Facilitating Self-Guided Mental Health Interventions Through Human-Language Model Interaction: A Case Study of Cognitive Restructuring,Client-facing application,CBT: Cognitive restructuring,GPT-3 family,General population,"15,531",No,User experience assessment,No
Bird et al. (2023),Generative Transformer Chatbots for Mental Health Support: A Study on Depression and Anxiety,Client-facing application,Non-specific support,unspecified,No clients/patients involved,-,No,Not specified,No
Liu et al. (2024),Leveraging ChatGPT to optimize depression intervention through explainable deep learning,Client-facing application,Non-specific support,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Meywirth et al. (2024),Designing a Large Language Model-Based Coaching Intervention for Lifestyle Behavior Change,Client-facing application,Motivational interviewing,GPT-3.5 family,General population,11,No,User experience assessment,No
Sharma et al. (2021),Towards Facilitating Empathic Conversations in Online Mental Health Support: A Reinforcement Learning Approach,Therapist guidance application,Peer support conversation,GPT-2 family,No clients/patients involved,-,No,Not specified,No
Farhat et al. (2023),ChatGPT as a Complementary Mental Health Resource: A Boon or a Bane,Client-facing application,Non-specific support,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Hodson et al. (2024),Can Large Language Models Replace Therapists? Evaluating Performance at Simple Cognitive Behavioral Therapy Tasks.,Client-facing application,CBT: Cognitive restructuring,GPT-4 / GPT-4o family,No clients/patients involved,-,No,Not specified,No
Naher et al. (2024),Can ChatGPT provide a better support: a comparative analysis of ChatGPT and dataset responses in mental health dialogues,Client-facing application,Non-specific support,"ChatGPT, model unspecified",No clients/patients involved,-,No,Not specified,No
Alanzi et al. (2024),ChatGPT as a psychotherapist for anxiety disorders: An empirical study with anxiety patients.,Client-facing application,Multiple therapeutic orientations,GPT-3.5 family,Clinical patients (hospital/outpatient),399,No,User experience assessment,No
Heston et al. (2023),Safety of Large Language Models in Addressing Depression.,Client-facing application,Non-specific support,GPT-3.5 family,No clients/patients involved,-,No,Not specified,Yes
Alanezi et al. (2024),Assessing the Effectiveness of ChatGPT in Delivering Mental Health Support: A Qualitative Study,Client-facing application,Non-specific support,GPT-3.5 family,Clinical patients (hospital/outpatient),24,No,User experience assessment,No
Xiao et al. (2024),Healme: Harnessing cognitive reframing in large language models for psychotherapy,Client-facing application,CBT: Cognitive restructuring,Llama 2 family,General population,8,Yes,Validated symptom/function scale,No
G et al. (2024),Chain-of-Interaction: Enhancing Large Language Models for Psychiatric Behavior Understanding by Dyadic Contexts,Text-based prediction,Motivational interviewing,GPT-3.5 family; Llama 2 family; Mistral family; Falcon family,No clients/patients involved,-,Yes,Not specified,No
DeDuro et al. (2025),"Introducing CounseLLMe: A dataset of simulated mental health dialogues for comparing LLMs like Haiku, LLaMAntino and ChatGPT against humans",Client-facing application,Non-specific support,GPT-3.5 family; Llama 2 family; Claude family,No clients/patients involved,-,No,Not specified,No
Qiu et al. (2024),Smile: Single-turn to multi-turn inclusive language expansion via chatgpt for mental health support,Client-facing application,Non-specific support,ChatGLM family,No clients/patients involved,-,No,Not specified,No
Maurya et al. (2024),Assessing the use of ChatGPT as a psychoeducational tool for mental health practice,Client-facing application,Non-specific support,GPT-3.5 family,No clients/patients involved,-,No,Not specified,No
Melo et al. (2023),Empowering Psychotherapy with Large Language Models: Cognitive Distortion Detection through Diagnosis of Thought Prompting,Text-based prediction,CBT: Cognitive restructuring,GPT-3.5 family; GPT-4 / GPT-4o family; Llama 2 family,No clients/patients involved,-,No,Not specified,No
Spiegel et al. (2024),Domain-Specific Improvement on Psychotherapy Chatbot Using Assistant,Client-facing application,Non-specific support,GPT-4 / GPT-4o family; Llama 2 family; ChatGLM family,No clients/patients involved,-,No,Not specified,No
J et al. (2024),PsycoLLM: Enhancing LLM for Psychological Understanding and Evaluation,Client-facing application,Non-specific support,Qwen family,No clients/patients involved,-,No,Not specified,No
